,country,corruption,humanFreedom,gdppc,happiness,healthcareRank,safeness,averageTemperature,continent
0,Afghanistan,16.0,4.12,2390.0,2.523,162.0,3.554,12.6,Asia
1,Albania,35.0,8.14,14218.0,5.117,67.0,1.761,11.4,Europe
2,Algeria,33.0,5.26,11112.0,4.887,108.0,2.146,22.5,Africa
3,Angola,29.0,6.09,6932.0,3.8,156.0,1.982,21.55,Africa
4,Antigua and Barbuda,59.0,7.6,18618.0,,,,26.0,North America
5,Argentina,38.0,7.38,20751.0,5.929,63.0,1.911,14.8,South America
6,Armenia,49.0,8.2,13261.0,5.283,55.0,1.992,7.15,Asia
7,Australia,73.0,8.84,51680.0,7.183,16.0,1.565,21.65,Oceania
8,Austria,74.0,8.67,55218.0,7.268,10.0,1.3,6.35,Europe
9,Azerbaijan,30.0,6.16,14431.0,5.171,78.0,2.437,11.95,Asia
10,Bahamas,64.0,8.22,32454.0,,,,24.85,North America
11,Bahrain,42.0,5.73,48766.0,6.647,56.0,2.085,27.15,Asia
12,Bangladesh,26.0,5.75,5307.0,5.025,125.0,2.067,25.0,Asia
13,Barbados,65.0,7.92,13553.0,,,,26.0,North America
14,Belarus,41.0,6.73,20187.0,5.534,69.0,2.259,6.15,Europe
15,Belgium,73.0,8.61,51096.0,6.834,23.0,1.526,9.55,Europe
16,Belize,25.0,7.64,6046.0,5.956,95.0,,25.3,North America
17,Benin,42.0,7.32,3437.0,5.045,126.0,2.125,27.55,Africa
18,Bhutan,68.0,6.86,12060.0,5.055,,1.481,7.4,Asia
19,Bolivia,30.0,6.94,8344.0,5.716,106.0,1.989,21.55,South America
20,Bosnia and Herzegovina,35.0,7.39,15047.0,5.813,77.0,1.85,9.85,Europe
21,Botswana,55.0,7.9,16893.0,3.467,82.0,1.801,21.5,Africa
22,Brazil,38.0,7.22,14916.0,6.33,70.0,2.465,24.95,South America
23,Brunei,48.0,6.46,62371.0,,,,26.85,Asia
24,Bulgaria,42.0,8.08,23817.0,5.266,48.0,1.541,10.55,Europe
25,Burkina Faso,42.0,6.85,2262.0,4.834,135.0,2.786,28.25,Africa
26,Burundi,19.0,5.02,760.0,3.775,157.0,2.47,19.8,Africa
27,Cambodia,23.0,6.47,4695.0,4.83,118.0,1.882,26.8,Asia
28,Cameroon,27.0,5.63,3646.0,5.142,151.0,2.709,24.6,Africa
29,Canada,74.0,8.85,48720.0,7.103,14.0,1.389,-5.35,North America
30,CFA,24.0,5.62,979.0,3.48,166.0,3.021,24.9,Africa
31,Chad,20.0,5.57,1611.0,4.355,164.0,2.591,26.55,Africa
32,Chile,67.0,8.44,23366.0,6.172,37.0,1.84,8.45,South America
33,China,45.0,5.57,17192.0,5.339,54.0,2.01,6.95,Asia
34,Colombia,39.0,7.01,14324.0,6.012,74.0,2.729,24.5,South America
35,Comoros,20.0,6.07,3048.0,4.289,128.0,,25.55,Africa
36,Costa Rica,58.0,8.25,19990.0,7.069,38.0,1.732,24.8,North America
37,Croatia,47.0,8.16,27717.0,5.882,43.0,1.44,10.9,Europe
38,Cuba,46.0,3.93,12300.0,,103.0,2.083,25.2,North America
39,Cyprus,53.0,8.42,40107.0,6.223,33.0,1.903,18.45,Europe
40,Czechia,54.0,8.61,40618.0,6.965,,1.318,7.55,Europe
41,Côte d'Ivoire,36.0,6.9,5365.0,5.306,124.0,2.144,26.35,Africa
42,DR Congo,19.0,5.62,1106.0,5.34,161.0,3.166,24.0,Africa
43,Denmark,88.0,8.98,58932.0,7.62,1.0,1.296,7.5,Europe
44,Djibouti,30.0,5.84,5096.0,4.69,119.0,2.213,28.0,Africa
45,Dominica,55.0,7.95,11072.0,,,,22.35,North America
46,Dominican Rep.,30.0,7.88,18608.0,5.545,72.0,1.99,24.55,North America
47,Ecuador,36.0,7.43,11009.0,5.764,89.0,1.988,21.85,South America
48,Egypt,33.0,4.49,12790.0,4.283,121.0,2.342,22.1,Africa
49,El Salvador,34.0,7.39,8422.0,6.061,93.0,2.231,24.45,North America
50,Eq. Guinea,17.0,5.25,17788.0,,131.0,1.863,24.55,Africa
51,Eritrea,22.0,4.17,1821.0,,160.0,2.494,25.5,Africa
52,Estonia,74.0,8.91,38834.0,6.189,21.0,1.662,5.1,Europe
53,Eswatini,32.0,5.79,8957.0,4.308,134.0,2.033,21.4,Africa
54,Ethiopia,39.0,5.95,2908.0,4.275,150.0,2.806,22.2,Africa
55,Fiji,55.0,7.36,11567.0,6.25,,,24.4,Oceania
56,Finland,88.0,8.85,49853.0,7.842,5.0,1.439,1.7,Europe
57,France,71.0,8.34,46062.0,6.69,22.0,1.895,10.7,Europe
58,Gabon,31.0,6.8,15970.0,4.852,122.0,1.973,25.05,Africa
59,Gambia,37.0,6.88,2276.0,5.051,116.0,1.792,27.5,Africa
60,Georgia,55.0,8.2,14918.0,4.891,53.0,2.065,5.8,Asia
61,Germany,80.0,8.73,54076.0,7.155,8.0,1.462,8.5,Europe
62,Ghana,43.0,7.49,5693.0,5.088,100.0,1.759,27.2,Africa
63,Greece,49.0,7.86,28748.0,5.723,41.0,1.838,15.4,Europe
64,Grenada,53.0,7.7,15431.0,,,,26.65,North America
65,Guatemala,25.0,7.63,8293.0,6.435,102.0,2.139,23.45,North America
66,Guinea,25.0,5.82,2604.0,4.984,139.0,2.332,25.7,Africa
67,Guinea-Bissau,21.0,6.63,2348.0,,147.0,2.156,26.75,Africa
68,Guyana,39.0,7.49,19684.0,,91.0,2.14,26.0,South America
69,Haiti,20.0,7.21,2916.0,3.615,155.0,2.254,24.9,North America
70,Honduras,23.0,7.09,5450.0,5.919,107.0,2.269,23.5,North America
71,Hong Kong,76.0,8.41,59520.0,5.477,17.0,,,Asia
72,Hungary,43.0,7.73,33030.0,5.992,46.0,1.411,9.75,Europe
73,Iceland,74.0,8.77,55596.0,7.554,11.0,1.107,1.75,Europe
74,India,40.0,6.39,6461.0,3.819,101.0,2.578,23.65,Asia
75,Indonesia,38.0,7.1,12222.0,5.345,57.0,1.8,25.85,Asia
76,Iran,25.0,4.53,13073.0,4.721,120.0,2.687,17.25,Asia
77,Iraq,23.0,5.02,10003.0,4.854,137.0,3.157,21.4,Asia
78,Ireland,74.0,8.9,94392.0,7.085,12.0,1.288,9.3,Europe
79,Israel,59.0,7.66,40547.0,7.157,30.0,2.576,19.2,Asia
80,Italy,56.0,8.49,40861.0,6.483,31.0,1.643,13.45,Europe
81,Jamaica,44.0,7.91,9975.0,6.309,65.0,1.99,24.95,North America
82,Japan,73.0,8.73,42248.0,5.94,19.0,1.336,11.15,Asia
83,Jordan,49.0,6.91,10306.0,4.395,86.0,1.849,18.3,Asia
84,Kazakhstan,37.0,6.77,26565.0,6.152,62.0,2.071,6.4,Asia
85,Kenya,30.0,6.73,4926.0,4.607,113.0,2.303,24.75,Africa
86,Kuwait,43.0,6.34,41627.0,6.106,58.0,1.739,25.35,Asia
87,Kyrgyzstan,27.0,7.18,5036.0,5.744,90.0,2.028,1.55,Asia
88,Laos,30.0,5.85,8111.0,5.03,115.0,1.809,22.8,Asia
89,Latvia,59.0,8.67,31509.0,6.032,32.0,1.673,5.6,Europe
90,Lebanon,24.0,6.76,11564.0,4.584,105.0,2.615,16.4,Asia
91,Lesotho,38.0,7.01,2718.0,3.512,130.0,2.089,11.85,Africa
92,Liberia,29.0,6.81,1557.0,4.625,141.0,1.973,25.3,Africa
93,Libya,17.0,5.05,5893.0,5.41,149.0,2.93,21.8,Africa
94,Lithuania,61.0,8.68,38824.0,6.255,34.0,1.724,6.2,Europe
95,Luxembourg,81.0,8.8,118001.0,7.324,9.0,,8.65,Europe
96,Macau,45.0,5.57,56078.0,5.339,,2.01,,Asia
97,Madagascar,26.0,7.02,1599.0,4.208,136.0,1.995,22.65,Africa
98,Malawi,35.0,6.99,993.0,3.6,132.0,1.895,21.9,Africa
99,Malaysia,48.0,7.17,27402.0,5.384,40.0,1.471,25.4,Asia
100,Maldives,40.0,6.1,19609.0,5.198,,,27.65,Asia
101,Mali,29.0,6.25,2401.0,4.723,148.0,2.911,28.25,Africa
102,Malta,54.0,8.45,42856.0,6.602,25.0,,19.2,Europe
103,Mauritania,28.0,5.73,5834.0,4.227,154.0,2.193,27.65,Africa
104,Mauritius,54.0,8.07,20292.0,6.049,44.0,1.57,22.4,Africa
105,Mexico,31.0,6.92,19130.0,6.317,68.0,2.612,21.0,North America
106,Moldova,36.0,7.68,12811.0,5.766,80.0,1.882,9.45,Europe
107,Mongolia,35.0,8.0,11825.0,5.677,85.0,1.775,-0.7,Asia
108,Montenegro,46.0,7.88,20567.0,5.581,50.0,1.801,10.55,Europe
109,Morocco,39.0,5.9,7620.0,4.918,96.0,1.969,17.1,Africa
110,Mozambique,26.0,6.8,1277.0,4.794,142.0,2.316,23.8,Africa
111,Myanmar,28.0,5.78,5242.0,4.426,127.0,2.631,13.05,Asia
112,Namibia,49.0,7.56,9396.0,4.574,88.0,1.908,19.95,Africa
113,Nepal,33.0,7.12,4061.0,5.269,114.0,1.947,8.1,Asia
114,Netherlands,82.0,8.78,57534.0,7.464,6.0,1.522,9.25,Europe
115,New Zealand,88.0,9.01,42018.0,7.277,7.0,1.269,10.55,Oceania
116,Nicaragua,20.0,6.24,5575.0,5.972,111.0,2.334,24.9,North America
117,Niger,31.0,6.41,1259.0,5.074,153.0,2.655,27.15,Africa
118,Nigeria,24.0,6.28,5187.0,4.759,144.0,2.725,26.8,Africa
119,North Korea,16.0,4.0,1700.0,,,2.942,5.7,Asia
120,North Macedonia,39.0,7.75,16712.0,5.101,59.0,1.704,,Europe
121,Norway,85.0,8.76,65800.0,7.392,2.0,1.465,1.5,Europe
122,Oman,52.0,5.92,30178.0,6.58,66.0,1.889,25.6,Asia
123,Pakistan,28.0,5.63,5150.0,4.934,138.0,2.789,20.2,Asia
124,Palestine,59.0,7.66,40547.0,7.157,,2.552,,Asia
125,Panama,36.0,8.12,27003.0,6.18,49.0,1.876,25.4,North America
126,Papua New Guinea,31.0,7.17,3833.0,5.13,129.0,2.046,25.25,Oceania
127,Paraguay,30.0,7.54,12881.0,5.653,79.0,1.976,23.55,South America
128,Peru,36.0,7.93,11871.0,5.84,61.0,2.091,19.6,South America
129,Philippines,33.0,6.83,8452.0,5.88,83.0,2.339,25.85,Asia
130,Poland,56.0,7.96,34103.0,6.166,36.0,1.552,7.85,Europe
131,Portugal,62.0,8.69,34043.0,5.929,27.0,1.301,15.15,Europe
132,Puerto Rico,67.0,8.73,34025.0,6.951,,2.44,,North America
133,Qatar,63.0,6.15,93508.0,6.37,45.0,1.533,27.15,Asia
134,Rep. of the Congo,21.0,5.55,4188.0,5.342,152.0,2.184,24.55,Africa
135,Romania,45.0,8.33,30526.0,6.14,47.0,1.64,8.8,Europe
136,Russia,29.0,6.23,27903.0,5.477,76.0,3.275,-5.1,Europe
137,Rwanda,53.0,6.36,2337.0,3.415,104.0,1.945,17.85,Africa
138,Saint Lucia,56.0,7.87,12944.0,,,,25.5,North America
139,Saint Vincent and the Grenadines,59.0,7.82,12770.0,,,,26.8,North America
140,San Marino,56.0,8.49,58427.0,6.483,,1.643,11.85,Europe
141,Sao Tome and Principe,45.0,7.78,4274.0,,,,23.75,Africa
142,Saudi Arabia,53.0,5.12,46811.0,6.494,71.0,2.288,24.65,Asia
143,Senegal,43.0,7.07,3478.0,5.132,110.0,1.916,27.85,Africa
144,Serbia,38.0,7.54,19146.0,6.078,52.0,1.832,10.55,Europe
145,Seychelles,70.0,7.84,25414.0,6.433,51.0,,27.15,Africa
146,Sierra Leone,34.0,6.7,1725.0,3.849,145.0,1.803,26.05,Africa
147,Singapore,85.0,7.98,97057.0,6.377,15.0,1.326,26.45,Asia
148,Slovakia,52.0,8.21,32709.0,6.331,35.0,1.499,6.8,Europe
149,Slovenia,57.0,8.37,40067.0,6.461,26.0,1.316,8.9,Europe
150,Solomon Islands,43.0,7.53,2455.0,5.02,,,25.65,Oceania
151,Somalia,13.0,4.93,925.0,4.67,163.0,3.125,27.05,Africa
152,South Africa,44.0,7.3,12032.0,4.956,87.0,2.283,17.75,Africa
153,South Korea,62.0,8.39,44621.0,5.845,28.0,1.779,11.5,Asia
154,South Sudan,11.0,3.8,791.0,2.82,167.0,3.184,,Africa
155,Spain,61.0,8.56,39121.0,6.491,24.0,1.603,13.3,Europe
156,Sri Lanka,37.0,6.58,13214.0,4.325,84.0,2.02,26.95,Asia
157,Sudan,20.0,4.48,4098.0,4.14,,3.007,26.9,Africa
158,Suriname,39.0,7.64,14513.0,6.27,81.0,,25.7,South America
159,Sweden,85.0,8.83,54146.0,7.363,4.0,1.564,2.1,Europe
160,Switzerland,84.0,9.11,72874.0,7.571,3.0,1.357,5.5,Europe
161,Syria,13.0,3.66,2900.0,3.46,158.0,3.356,17.75,Asia
162,Taiwan,68.0,8.68,55724.0,6.584,20.0,1.618,,Asia
163,Tajikistan,25.0,5.52,3676.0,5.466,112.0,2.031,2.0,Asia
164,Tanzania,39.0,6.48,2821.0,3.623,117.0,2.001,22.35,Africa
165,Thailand,35.0,6.89,18236.0,5.985,64.0,2.098,26.3,Asia
166,Timor-Leste,41.0,7.22,3382.0,,,1.839,25.25,Asia
167,Togo,30.0,6.5,2199.0,4.107,140.0,2.094,27.15,Africa
168,Trinidad and Tobago,41.0,7.7,25031.0,6.19,60.0,2.005,25.75,North America
169,Tunisia,44.0,6.46,10120.0,4.596,99.0,1.996,19.2,Africa
170,Turkey,38.0,5.79,30253.0,4.948,94.0,2.785,11.1,Asia
171,Turkmenistan,19.0,3.9,16520.0,5.066,109.0,2.116,15.1,Asia
172,Uganda,27.0,6.32,2574.0,4.636,133.0,2.309,22.8,Africa
173,Ukraine,32.0,6.86,13110.0,4.875,92.0,2.971,8.3,Europe
174,U.A.E,69.0,6.06,58753.0,6.561,42.0,1.865,27.0,Asia
175,United Kingdom,78.0,8.75,44117.0,7.064,13.0,1.667,8.45,Europe
176,U.S.A,67.0,8.73,63416.0,6.951,18.0,2.44,8.55,North America
177,Uruguay,73.0,8.36,22459.0,6.431,39.0,1.795,17.55,South America
178,Uzbekistan,28.0,4.23,7449.0,6.179,97.0,2.001,12.05,Asia
179,Vanuatu,45.0,7.69,2586.0,7.066,,,23.95,Oceania
180,Venezuela,14.0,4.03,5178.0,4.892,146.0,2.798,25.35,South America
181,Vietnam,39.0,5.9,10869.0,5.411,73.0,1.786,24.45,Asia
182,Yemen,16.0,4.08,1927.0,3.658,165.0,3.394,23.85,Asia
183,Zambia,33.0,6.82,3342.0,4.073,123.0,1.841,21.4,Africa
184,Zimbabwe,23.0,5.6,2622.0,3.145,143.0,2.35,21.0,Africa
