,country,corruption,humanFreedom,gdppc,happiness,healthcareRank,safeness,averageTemperature,continent,worldCorruptionRank,worldFreedomRank,worldGDPRank,worldHappinessRank,worldSafenessRank,worldTemperatureRank,continentCorruptionRank,continentFreedomRank,continentGDPRank,continentHappinessRank,continentHealthcareRank,continentSafenessRank,continentTemperatureRank
0,Afghanistan,16.0,4.12,2390.0,2.52,158.0,3.55,12.6,Asia,179.0,178.0,165.0,169.0,165.0,124.0,47.0,46.0,48.0,47.0,42.0,47.0,31.0
1,Albania,35.0,8.14,14218.0,5.12,66.0,1.76,11.4,Europe,114.0,44.0,88.0,105.0,41.0,130.0,38.0,29.0,39.0,39.0,34.0,29.0,8.0
2,Algeria,33.0,5.26,11112.0,4.89,105.0,2.15,22.5,Africa,121.0,166.0,107.0,121.0,110.0,83.0,21.0,45.0,8.0,16.0,10.0,24.0,34.0
3,Angola,29.0,6.09,6932.0,3.8,153.0,1.98,21.55,Africa,140.0,140.0,124.0,156.0,77.0,93.0,30.0,31.0,13.0,40.0,44.0,15.0,41.0
4,Antigua and Barbuda,59.0,7.6,18618.0,,,,26.0,North America,37.0,74.0,72.0,,,30.0,6.0,17.0,9.0,,,,3.0
5,Argentina,38.0,7.38,20751.0,5.93,62.0,1.91,14.8,South America,100.0,84.0,63.0,67.0,69.0,120.0,6.0,8.0,3.0,6.0,4.0,3.0,11.0
6,Armenia,49.0,8.2,13261.0,5.28,54.0,1.99,7.15,Asia,61.0,41.0,90.0,97.0,79.0,158.0,14.0,5.0,25.0,26.0,12.0,19.0,39.0
7,Australia,73.0,8.84,51680.0,7.18,16.0,1.56,21.65,Oceania,18.0,8.0,20.0,11.0,26.0,92.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0
8,Austria,74.0,8.67,55218.0,7.27,10.0,1.3,6.35,Europe,13.0,22.0,17.0,10.0,4.0,162.0,10.0,15.0,9.0,9.0,9.0,3.0,30.0
9,Azerbaijan,30.0,6.16,14431.0,5.17,76.0,2.44,11.95,Asia,132.0,137.0,86.0,101.0,129.0,126.0,34.0,27.0,24.0,29.0,21.0,34.0,33.0
10,Bahamas,64.0,8.22,32454.0,,,,24.85,North America,31.0,39.0,47.0,,,59.0,5.0,5.0,4.0,,,,13.0
11,Bahrain,42.0,5.73,48766.0,6.65,55.0,2.08,27.15,Asia,83.0,154.0,23.0,25.0,99.0,10.0,21.0,37.0,8.0,3.0,13.0,29.0,2.0
12,Bangladesh,26.0,5.75,5307.0,5.03,122.0,2.07,25.0,Asia,151.0,153.0,133.0,113.0,97.0,53.0,40.0,36.0,39.0,32.0,37.0,27.0,16.0
13,Barbados,65.0,7.92,13553.0,,,,26.0,North America,30.0,53.0,89.0,,,31.0,4.0,8.0,12.0,,,,4.0
14,Belarus,41.0,6.73,20187.0,5.53,68.0,2.26,6.15,Europe,87.0,118.0,66.0,84.0,117.0,164.0,34.0,40.0,35.0,36.0,35.0,37.0,32.0
15,Belgium,73.0,8.61,51096.0,6.83,23.0,1.53,9.55,Europe,19.0,24.0,21.0,23.0,22.0,141.0,14.0,17.0,12.0,14.0,15.0,16.0,16.0
16,Belize,25.0,7.64,6046.0,5.96,93.0,,25.3,North America,154.0,71.0,126.0,65.0,,47.0,19.0,15.0,20.0,12.0,10.0,,8.0
17,Benin,42.0,7.32,3437.0,5.04,123.0,2.12,27.55,Africa,84.0,86.0,150.0,112.0,105.0,7.0,11.0,7.0,26.0,12.0,20.0,22.0,6.0
18,Bhutan,68.0,6.86,12060.0,5.05,,1.48,7.4,Asia,25.0,108.0,101.0,110.0,19.0,157.0,5.0,18.0,29.0,31.0,,4.0,38.0
19,Bolivia,30.0,6.94,8344.0,5.72,103.0,1.99,21.55,South America,133.0,102.0,119.0,78.0,80.0,94.0,10.0,11.0,11.0,9.0,11.0,5.0,8.0
20,Bosnia and Herzegovina,35.0,7.39,15047.0,5.81,75.0,1.85,9.85,Europe,115.0,82.0,82.0,74.0,58.0,139.0,39.0,38.0,38.0,32.0,37.0,33.0,14.0
21,Botswana,55.0,7.9,16893.0,3.47,80.0,1.8,21.5,Africa,48.0,55.0,77.0,164.0,48.0,95.0,2.0,2.0,4.0,46.0,3.0,4.0,42.0
22,Brazil,38.0,7.22,14916.0,6.33,69.0,2.46,24.95,South America,101.0,88.0,84.0,40.0,132.0,54.0,7.0,9.0,5.0,2.0,5.0,9.0,4.0
23,Brunei,48.0,6.46,62371.0,,,,26.85,Asia,65.0,126.0,8.0,,,19.0,16.0,24.0,3.0,,,,6.0
24,Bulgaria,42.0,8.08,23817.0,5.27,47.0,1.54,10.55,Europe,85.0,46.0,60.0,98.0,24.0,135.0,33.0,30.0,33.0,38.0,30.0,17.0,11.0
25,Burkina Faso,42.0,6.85,2262.0,4.83,132.0,2.79,28.25,Africa,86.0,110.0,169.0,127.0,147.0,1.0,12.0,15.0,39.0,18.0,27.0,42.0,1.0
26,Burundi,19.0,5.02,760.0,3.77,154.0,2.47,19.8,Africa,174.0,170.0,185.0,157.0,133.0,103.0,48.0,48.0,53.0,41.0,45.0,36.0,47.0
27,CFA,24.0,5.62,979.0,3.48,162.0,3.02,24.9,Africa,159.0,158.0,182.0,163.0,157.0,56.0,39.0,40.0,50.0,45.0,50.0,47.0,24.0
28,Cambodia,23.0,6.47,4695.0,4.83,115.0,1.88,26.8,Asia,162.0,125.0,141.0,128.0,62.0,20.0,44.0,23.0,43.0,38.0,35.0,16.0,7.0
29,Cameroon,27.0,5.63,3646.0,5.14,148.0,2.71,24.6,Africa,148.0,156.0,148.0,102.0,144.0,63.0,34.0,39.0,24.0,7.0,40.0,40.0,26.0
30,Canada,74.0,8.85,48720.0,7.1,14.0,1.39,-5.35,North America,14.0,6.0,24.0,15.0,12.0,178.0,1.0,1.0,2.0,1.0,1.0,1.0,22.0
31,Chad,20.0,5.57,1611.0,4.36,160.0,2.59,26.55,Africa,169.0,161.0,175.0,143.0,138.0,25.0,45.0,43.0,43.0,29.0,49.0,38.0,16.0
32,Chile,67.0,8.44,23366.0,6.17,36.0,1.84,8.45,South America,27.0,30.0,61.0,52.0,54.0,150.0,2.0,1.0,1.0,4.0,1.0,2.0,12.0
33,China,45.0,5.57,17192.0,5.34,53.0,2.01,6.95,Asia,70.0,162.0,76.0,91.0,89.0,159.0,18.0,39.0,21.0,23.0,11.0,21.0,40.0
34,Colombia,39.0,7.01,14324.0,6.01,73.0,2.73,24.5,South America,92.0,99.0,87.0,61.0,145.0,67.0,3.0,10.0,7.0,5.0,6.0,10.0,5.0
35,Comoros,20.0,6.07,3048.0,4.29,125.0,,25.55,Africa,170.0,141.0,153.0,146.0,,40.0,46.0,32.0,28.0,31.0,21.0,,20.0
36,Costa Rica,58.0,8.25,19990.0,7.07,37.0,1.73,24.8,North America,42.0,38.0,67.0,17.0,39.0,60.0,8.0,4.0,7.0,2.0,3.0,2.0,14.0
37,Croatia,47.0,8.16,27717.0,5.88,42.0,1.44,10.9,Europe,67.0,43.0,54.0,70.0,14.0,133.0,29.0,28.0,32.0,31.0,27.0,10.0,9.0
38,Cuba,46.0,3.93,12300.0,,100.0,2.08,25.2,North America,68.0,182.0,99.0,,100.0,51.0,12.0,23.0,15.0,,12.0,7.0,9.0
39,Cyprus,53.0,8.42,40107.0,6.22,32.0,1.9,18.45,Europe,55.0,31.0,37.0,47.0,66.0,108.0,26.0,23.0,19.0,23.0,22.0,35.0,2.0
40,Czechia,54.0,8.61,40618.0,6.96,,1.32,7.55,Europe,52.0,25.0,34.0,20.0,7.0,155.0,24.0,18.0,18.0,13.0,,6.0,27.0
41,Côte d'Ivoire,36.0,6.9,5365.0,5.31,121.0,2.14,26.35,Africa,109.0,105.0,132.0,96.0,107.0,27.0,18.0,13.0,17.0,6.0,19.0,23.0,17.0
42,DR Congo,19.0,5.62,1106.0,5.34,157.0,3.17,24.0,Africa,175.0,159.0,180.0,92.0,160.0,71.0,49.0,41.0,48.0,4.0,47.0,49.0,29.0
43,Denmark,88.0,8.98,58932.0,7.62,1.0,1.3,7.5,Europe,1.0,3.0,10.0,2.0,5.0,156.0,1.0,2.0,5.0,2.0,1.0,4.0,28.0
44,Djibouti,30.0,5.84,5096.0,4.69,116.0,2.21,28.0,Africa,134.0,148.0,138.0,133.0,114.0,3.0,27.0,35.0,19.0,22.0,15.0,28.0,3.0
